fips_n	geoid	countyname	religion	civic	charitable	fraternal	union	bridging	voteage	local	state	federal	politicalacts	linking	ethnic	ethnichpn	education	incomeequal	employ	genderincome	language	commu	nonelder	bonding	socialcap
1001	"0500000US01001"	"Autauga County, Alabama"	0.11267702	0.07606666	0.31855956	0.27695167	0.33827162	0.2245053	0.5290137	0.13482146	0.18438026	0.18950869	0.28156748	0.26385832	0.5502367	0.9093669	0.58859473	0.5479452	0.56055367	0.082050204	0.9610885	0.9195899	0.9995728	0.6798887	1.1682523
1003	"0500000US01003"	"Baldwin County, Alabama"	0.079111904	0.10866666	0.35457063	0.3197026	0.39012346	0.25043505	0.5740265	0.1686314	0.06301579	0.07377675	0.3222061	0.24033132	0.67399585	0.85024846	0.6252546	0.47031963	0.5074971	0.10831839	0.94301707	0.85944396	0.99982107	0.67087954	1.1616459
1005	"0500000US01005"	"Barbour County, Alabama"	0.20838276	0.06519999	0.21745153	0.18773234	0.24938272	0.18562987	0.5935879	0.16303064	0.15198305	0.07202071	0.21044993	0.23821445	0.29677707	0.82461506	0.43686354	0.41324198	0.33910036	0.113303065	0.95096695	0.86272424	0.99903214	0.58184713	1.0056914
1007	"0500000US01007"	"Bibb County, Alabama"	0.2299971	0.02173333	0.13711911	0.21375465	0.2765432	0.17582949	0.59750825	0.1518195	0.06517975	0.08973446	0.15965167	0.21277872	0.6483964	0.9764341	0.5040733	0.53424656	0.461361	0.04060787	0.9848839	0.8607076	0.99888086	0.6677324	1.0563406
1009	"0500000US01009"	"Blount County, Alabama"	0.1700739	0.04346666	0.1565097	0.2472119	0.3530864	0.19406971	0.53032917	0.1410459	0.05925686	0.071972504	0.1567489	0.19187066	0.8762572	0.7228534	0.57331973	0.5091324	0.4913495	0.23414785	0.9249723	0.8459669	0.9995006	0.68638885	1.0723293
1011	"0500000US01011"	"Bullock County, Alabama"	0.28684494	0.02173333	0.17174515	0.13011153	0.27901235	0.17788947	0.5794798	0.23941329	0.15266821	0.22200777	0.16545719	0.27180526	0.484596	0.9351702	0.32484722	0.25570774	0.37485582	0.26415288	0.95996845	0.895665	0.99777097	0.6103038	1.0599985
1013	"0500000US01013"	"Butler County, Alabama"	0.2931547	0.03803333	0.18559557	0.1747212	0.30123457	0.19854787	0.5867878	0.16603088	0.13344802	0.08769393	0.18722786	0.2322377	0.32622558	0.98892766	0.48778003	0.41552514	0.40023068	0.081974626	0.9837479	0.7582632	0.9985599	0.60458165	1.0353673
1015	"0500000US01015"	"Calhoun County, Alabama"	0.14416942	0.09779999	0.2728532	0.2825279	0.27407408	0.21428491	0.5931206	0.1454266	0.10854987	0.31664523	0.29898402	0.29254526	0.49077535	0.8822994	0.63441956	0.43835616	0.38985008	0.25529504	0.9534703	0.8962063	0.9997735	0.6600495	1.1668797
1017	"0500000US01017"	"Chambers County, Alabama"	0.22581261	0.05433333	0.18836565	0.19516729	0.2691358	0.18656294	0.6059956	0.14994192	0.09313546	0.041970327	0.19013062	0.21623479	0.3460682	0.9403036	0.5509165	0.5022831	0.34486735	0.07259023	0.98313683	0.85400814	0.99909806	0.6214747	1.0242724
1019	"0500000US01019"	"Cherokee County, Alabama"	0.19352344	0.05433333	0.20221607	0.21747212	0.42469135	0.21844727	0.64997566	0.23915312	0.06029579	0.050648768	0.17851959	0.23571858	0.8200674	0.95066285	0.42973524	0.47031963	0.37485582	0.080045104	0.98533374	0.8578631	0.99874926	0.66307026	1.1172361
1021	"0500000US01021"	"Chilton County, Alabama"	0.1755215	0.07063332	0.16759002	0.23605949	0.24444444	0.17884976	0.53006834	0.17801994	0.11994558	0.085704565	0.1640058	0.21554884	0.7044686	0.75664663	0.5407332	0.44292235	0.4636678	0.1512543	0.93698025	0.9083321	0.9994195	0.6560472	1.0504458
