FIPST,STABR,LEAID,LEA_NAME,MSTREET_1,MSTREET_2,MSTREET_3,MCITY,MSTATE,MZIP,MZIP4,LSTREET_1,LSTREET_2,LSTREET_3,LCITY,LSTATE,LZIP,LZIP4,PHONE,LEA_TYPE_TEXT,All Students - American Indian/Alaska Native,All Students - Asian,All Students - Black,All Students - Hispanic,All Students - Two or More Races,All Students - Hawaiian Native / Pacific Islander,All Students - White,All Students,Grant Amount
01,AL,0100002,Alabama Youth Services,P O Box 66,,,Mt Meigs,AL,36057,,1000 Industrial School Road,,,Mt. Meigs,AL,36057,,(334)215-3850,Regular public school district that is not a component of a supervisory union,,,,,,,,,
01,AL,0100005,Albertville City,107 West Main St,,,Albertville,AL,35950,,107 West Main Street,,,Albertville,AL,35950,,(256)891-1183,Regular public school district that is not a component of a supervisory union,16,25,174,2546,133,5,2548,5447,
01,AL,0100006,Marshall County,12380 US Highway 431 S,,,Guntersville,AL,35976,,12380 US Highway 431 S,,,Guntersville,AL,35976,,(256)582-3171,Regular public school district that is not a component of a supervisory union,28,14,61,1211,59,3,4311,5687,
01,AL,0100007,Hoover City,2810 Metropolitan Way,,,Hoover,AL,35243,,2810 Metropolitan Way,,,Hoover,AL,35243,,(205)439-1015,Regular public school district that is not a component of a supervisory union,13,923,3440,1081,570,8,7903,13938,
01,AL,0100008,Madison City,211 Celtic Drive,,,Madison,AL,35758,,211 Celtic Drive,,,Madison,AL,35758,,(256)464-8370,Regular public school district that is not a component of a supervisory union,62,902,2127,534,449,29,6337,10440,
01,AL,0100009,Al Inst Deaf And Blind,P O Drawer 698,,,Talladega,AL,35161,,205 E South Street,,,Talladega,AL,35160,,(256)761-3200,State agency,,,,,,,,,
01,AL,0100011,Leeds City,P O Box 1083,,,Leeds,AL,35094,,1404 8th Street,,,Leeds,AL,35094,,(205)699-5437,Regular public school district that is not a component of a supervisory union,6,19,454,246,50,2,1196,1973,
01,AL,0100012,Boaz City,P O Box 721,,,Boaz,AL,35957,,126 Newt Parker Dr.,,,Boaz,AL,35957,,(256)593-8180,Regular public school district that is not a component of a supervisory union,12,13,47,711,68,15,1523,2389,
01,AL,0100013,Trussville City,113 N Chalkville Road,,,Trussville,AL,35173,,601 Parkway Drive,,,Trussville,AL,35173,,(205)228-3018,Regular public school district that is not a component of a supervisory union,15,88,534,70,127,1,3704,4539,
01,AL,0100015,SafetyNet Academy,1221 Alton Drive,,,Birmingham,AL,35210,,1221 Alton Drive,,,Birmingham,AL,35210,,(334)872-6196,State agency,,,,,,,,,
